Id,Sales_Price,Baths,Land_size,Beds,House_size,Location
7686,24800000,3,6,4,2500,"Piliyandala,Colombo"
7687,14000000,2,8,3,1562,"Piliyandala,Colombo"
7688,24500000,3,10,3,2500,"Malabe,Colombo"
7689,28000000,4,10,4,2985,"Piliyandala,Colombo"
7690,23500000,3,6,4,2000,"Malabe,Colombo"
7691,36000000,3,7.8,4,3500,"Malabe,Colombo"
7692,25500000,3,10,3,2300,"Malabe,Colombo"
7693,23500000,3,6,4,2500,"Malabe,Colombo"
7694,36000000,3,7.8,4,3600,"Malabe,Colombo"
7695,49500000,4,10,4,4000,"Talawatugoda,Colombo"
7696,36000000,3,7.8,4,3500,"Malabe,Colombo"
7697,17500000,3,6.5,4,2500,"Piliyandala,Colombo"
7698,25500000,5,7,4,2986,"Piliyandala,Colombo"
7699,23500000,3,7,5,3250,"Piliyandala,Colombo"
7700,23500000,3,6,4,2000,"Malabe,Colombo"
7701,13500000,1,14,3,1400,"Piliyandala,Colombo"
7702,26000000,3,7,4,2400,"Piliyandala,Colombo"
7703,24500000,3,6.3,4,1800,"Malabe,Colombo"
7704,27500000,4,8,4,2280,"Talawatugoda,Colombo"
7705,27500000,3,6.5,4,2800,"Talawatugoda,Colombo"
7706,34500000,4,7.5,5,3500,"Malabe,Colombo"
7707,65000000,4,10,5,4000,"Malabe,Colombo"
7708,49500000,4,10,4,10,"Talawatugoda,Colombo"
7709,190000000,8,20.5,8,10000,"Talawatugoda,Colombo"
7710,29500000,3,8,4,4000,"Malabe,Colombo"
7711,33000000,4,8,4,3000,"Kottawa,Colombo"
7712,37500000,3,9,5,3100,"Malabe,Colombo"
7713,48000000,3,10.12,4,2650,"Malabe,Colombo"
7714,16500000,2,10,5,2200,"Wadduwa,Kalutara"
7715,65000000,4,12.5,5,4000,"Malabe,Colombo"
7716,26500000,3,6.5,4,2600,"Malabe,Colombo"
7717,9900000,1,10,3,1400,"Negombo,Gampaha"
7718,60000000,4,15,4,4000,"Talawatugoda,Colombo"
7719,45000000,4,11,5,3800,"Talawatugoda,Colombo"
7720,49500000,4,10,4,4200,"Talawatugoda,Colombo"
7721,20500000,2,10,3,1600,"Negombo,Gampaha"
7722,65000000,3,10,5,4000,"Battaramulla,Colombo"
7723,115000000,4,22,5,4500,"Battaramulla,Colombo"
7724,16000000,2,8,3,1800,"Athurugiriya,Colombo"
7725,18500000,3,9,3,1900,"Athurugiriya,Colombo"
7726,16000000,2,8,3,1800,"Athurugiriya,Colombo"
7727,45000000,4,7,4,3800,"Battaramulla,Colombo"
7728,96000000,4,13.5,5,3350,"Battaramulla,Colombo"
7729,170000000,7,24,6,14000,"Battaramulla,Colombo"
7730,75000000,4,14,5,4000,"Battaramulla,Colombo"
7731,28500000,4,8.5,4,3000,"Piliyandala,Colombo"
7732,42500000,2,9.8,3,1500,"Dehiwala,Colombo"
7733,12800000,2,15,3,1950,"AnuradhapuraCity,Anuradhapura"
7734,185000000,2,8,3,1532,"Piliyandala,Colombo"
7735,34000000,2,10,3,4000,"Dehiwala,Colombo"
7736,28000000,2,20,4,1500,"Bandaragama,Kalutara"
7737,28500000,4,8.5,4,2489,"Piliyandala,Colombo"
7738,57000000,5,6.8,7,3000,"MountLavinia,Colombo"
7739,38000000,4,15,4,4000,"Moratuwa,Colombo"
7740,33000000,4,8,4,3500,"Kottawa,Colombo"
7741,76000000,3,7.8,4,2200,"Dehiwala,Colombo"
7742,30000000,3,20,4,3500,"Negombo,Gampaha"
7743,18500000,3,8,3,1522,"Piliyandala,Colombo"
7744,25500000,4,7.5,4,3421,"Piliyandala,Colombo"
7745,12000000,2,21,3,1564,"Kesbewa,Colombo"
7746,160000000,3,6.75,3,3900,"Colombo3,Colombo"
7747,26500000,3,10,4,3500,"Negombo,Gampaha"
7748,14500000,3,6.8,3,2200,"Kaduwela,Colombo"
7749,50000000,6,7,8,5500,"Nugegoda,Colombo"
7750,33000000,4,8,4,3000,"Battaramulla,Colombo"
7751,36000000,3,6,3,2800,"Battaramulla,Colombo"
7752,13000000,2,9,3,1500,"Kottawa,Colombo"
7753,13000000,2,9,3,1500,"Homagama,Colombo"
7754,100000000,5,20,5,5000,"Battaramulla,Colombo"
7755,15000000,2,17,4,20000,"Athurugiriya,Colombo"
7756,8000000,1,10,2,5000,"Deniyaya,Matara"
7757,31500000,4,13.2,4,2100,"Negombo,Gampaha"
7758,26500000,3,10.5,4,3150,"Negombo,Gampaha"
7759,19500000,2,12.5,3,2000,"Negombo,Gampaha"
7760,9900000,1,10,3,1450,"Negombo,Gampaha"
7761,14500000,3,6.8,3,2000,"Kaduwela,Colombo"
7762,8500000,1,10,2,1200,"Seeduwa,Gampaha"
7763,20500000,3,10,3,2000,"Negombo,Gampaha"
7764,9900000,1,10,3,1400,"Negombo,Gampaha"
7765,11000000,2,10,5,2100,"Negombo,Gampaha"
7766,26500000,3,10.5,4,3150,"Negombo,Gampaha"
7767,66000000,3,29,5,3500,"Malabe,Colombo"
7768,40750000,3,4,2,1600,"Kohuwala,Colombo"
7769,7500000,2,15,4,2050,"Moratuwa,Colombo"
7770,25000000,3,10,4,3000,"Negombo,Gampaha"
7771,67500000,3,22.6,5,3000,"Nugegoda,Colombo"
7772,66000000,3,29,5,3500,"Battaramulla,Colombo"
7773,17000000,3,11,3,1600,"Negombo,Gampaha"
7774,29000000,2,12.5,3,2000,"Malabe,Colombo"
7775,26500000,3,14.15,5,3250,"Kadawatha,Gampaha"
7776,25000000,3,8.2,5,2500,"Kottawa,Colombo"
7777,18500000,3,15,3,2150,"Negombo,Gampaha"
7778,57500000,4,6,5,3200,"Dehiwala,Colombo"
7779,23500000,3,6.5,4,2300,"Malabe,Colombo"
7780,25500000,4,7.5,4,3244,"Piliyandala,Colombo"
7781,33000000,4,8,4,3000,"Kottawa,Colombo"
7782,42000000,5,16,5,5200,"Kottawa,Colombo"
7783,20500000,2,10,3,1610,"Negombo,Gampaha"
7784,9900000,1,10,3,1450,"Negombo,Gampaha"
7785,19500000,2,12.5,3,2000,"Negombo,Gampaha"
7786,34500000,4,7.5,5,3500,"Malabe,Colombo"
7787,65000000,4,10,5,4000,"Malabe,Colombo"
7788,49500000,4,10,4,4000,"Talawatugoda,Colombo"
7789,30000000,3,8,4,2600,"Boralesgamuwa,Colombo"
7790,17000000,2,11,3,1550,"Negombo,Gampaha"
7791,26500000,3,10.5,4,3150,"Negombo,Gampaha"
7792,42500000,5,13.2,8,5020,"Boralesgamuwa,Colombo"
7793,23500000,3,6.5,4,2200,"Malabe,Colombo"
7794,25000000,3,10,5,2600,"Malabe,Colombo"
7795,26000000,4,8.5,4,2800,"Piliyandala,Colombo"
7796,5000000,1,6,5,1500,"KegalleCity,Kegalle"
7797,9000000,1,11.8,3,1238,"Godagama,Colombo"
7798,25500000,4,7.5,4,2564,"Piliyandala,Colombo"
7799,7200000,1,6.5,1,1500,"Delgoda,Gampaha"
7800,6000000,1,2.4,2,653.4,"Wellampitiya,Colombo"
7801,14000000,2,12,3,1000,"Homagama,Colombo"
7802,42500000,5,13.2,8,5100,"Nugegoda,Colombo"
7803,180000000,6,43,8,7500,"Malabe,Colombo"
7804,7000000,1,7.68,3,1800,"Ragama,Gampaha"
7805,20000000,2,7.5,3,1500,"Weligama,Matara"
7806,29500000,4,9.6,4,3900,"Malabe,Colombo"
7807,9000000,1,8.1,3,1400,"MataraCity,Matara"
7808,8000000,1,80,2,1100,"Embilipitiya,Ratnapura"
7809,65000000,5,12,5,3800,"Nugegoda,Colombo"
7810,9900000,1,10,3,1400,"Negombo,Gampaha"
7811,15000000,1,13.89,5,2500,"BatticaloaCity,Batticaloa"
